id;contract;employee;overtime;startdate;enddate;type;days;description
428;12;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
429;12;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
430;12;;;2021-01-01;2021-12-31;10;2;Children Circumcision
431;12;;;2021-01-01;2021-12-31;11;2;Children Baptism
432;12;;;2021-01-01;2021-12-31;12;30;Pilgirm
433;13;;;2021-01-01;2021-12-31;1;14;Annual Paid Leave
434;13;;;2021-01-01;2021-12-31;2;90;Maternity Leave
435;13;;;2021-01-01;2021-12-31;4;12;Sick Leave
436;13;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
437;13;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
438;13;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
439;13;;;2021-01-01;2021-12-31;10;2;Children Circumcision
440;13;;;2021-01-01;2021-12-31;11;2;Children Baptism
441;13;;;2021-01-01;2021-12-31;12;30;Pilgirm
442;14;;;2021-01-01;2021-12-31;1;16;Annual Paid Leave
443;14;;;2021-01-01;2021-12-31;2;90;Maternity Leave
444;14;;;2021-01-01;2021-12-31;4;12;Sick Leave
445;14;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
446;14;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
447;14;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
448;14;;;2021-01-01;2021-12-31;10;2;Children Circumcision
449;14;;;2021-01-01;2021-12-31;11;2;Children Baptism
450;14;;;2021-01-01;2021-12-31;12;30;Pilgirm
451;15;;;2021-01-01;2021-12-31;1;18;Annual Paid Leave
452;15;;;2021-01-01;2021-12-31;2;90;Maternity Leave
453;15;;;2021-01-01;2021-12-31;4;12;Sick Leave
454;15;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
455;15;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
456;15;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
457;15;;;2021-01-01;2021-12-31;10;2;Children Circumcision
458;15;;;2021-01-01;2021-12-31;11;2;Children Baptism
459;15;;;2021-01-01;2021-12-31;12;30;Pilgirm
460;16;;;2021-01-01;2021-12-31;1;12;Annual Paid Leave
461;16;;;2021-01-01;2021-12-31;2;90;Maternity Leave
462;16;;;2021-01-01;2021-12-31;4;12;Sick Leave
463;16;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
464;16;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
465;16;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
466;16;;;2021-01-01;2021-12-31;10;2;Children Circumcision
467;16;;;2021-01-01;2021-12-31;11;2;Children Baptism
468;16;;;2021-01-01;2021-12-31;12;30;Pilgirm
469;17;;;2021-01-01;2021-12-31;1;14;Annual Paid Leave
470;17;;;2021-01-01;2021-12-31;2;90;Maternity Leave
471;17;;;2021-01-01;2021-12-31;4;12;Sick Leave
472;17;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
473;17;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
474;17;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
475;17;;;2021-01-01;2021-12-31;10;2;Children Circumcision
476;17;;;2021-01-01;2021-12-31;11;2;Children Baptism
477;17;;;2021-01-01;2021-12-31;12;30;Pilgirm
478;18;;;2021-01-01;2021-12-31;1;16;Annual Paid Leave
479;18;;;2021-01-01;2021-12-31;2;90;Maternity Leave
480;18;;;2021-01-01;2021-12-31;4;12;Sick Leave
481;18;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
482;18;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
483;18;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
484;18;;;2021-01-01;2021-12-31;10;2;Children Circumcision
485;18;;;2021-01-01;2021-12-31;11;2;Children Baptism
486;18;;;2021-01-01;2021-12-31;12;30;Pilgirm
487;1;;;2022-01-01;2022-12-31;1;16;Annual Paid Leave
488;1;;;2022-01-01;2022-12-31;3;2;Paternity Leave
489;1;;;2022-01-01;2022-12-31;4;12;Sick Leave
490;1;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
491;1;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
492;1;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
493;1;;;2022-01-01;2022-12-31;10;2;Children Circumcision
494;1;;;2022-01-01;2022-12-31;11;2;Children Baptism
495;1;;;2022-01-01;2022-12-31;12;30;Pilgirm
496;2;;;2022-01-01;2022-12-31;1;18;Annual Paid Leave
497;2;;;2022-01-01;2022-12-31;3;2;Paternity Leave
498;2;;;2022-01-01;2022-12-31;4;12;Sick Leave
499;2;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
500;2;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
501;2;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
502;2;;;2022-01-01;2022-12-31;10;2;Children Circumcision
503;2;;;2022-01-01;2022-12-31;11;2;Children Baptism
504;2;;;2022-01-01;2022-12-31;12;30;Pilgirm
505;3;;;2022-01-01;2022-12-31;1;20;Annual Paid Leave
506;3;;;2022-01-01;2022-12-31;3;2;Paternity Leave
507;3;;;2022-01-01;2022-12-31;4;12;Sick Leave
508;3;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
509;3;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
510;3;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
511;3;;;2022-01-01;2022-12-31;10;2;Children Circumcision
512;3;;;2022-01-01;2022-12-31;11;2;Children Baptism
513;3;;;2022-01-01;2022-12-31;12;30;Pilgirm
514;4;;;2022-01-01;2022-12-31;1;14;Annual Paid Leave
515;4;;;2022-01-01;2022-12-31;3;2;Paternity Leave
516;4;;;2022-01-01;2022-12-31;4;12;Sick Leave
517;4;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
518;4;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
519;4;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
520;4;;;2022-01-01;2022-12-31;10;2;Children Circumcision
521;4;;;2022-01-01;2022-12-31;11;2;Children Baptism
522;4;;;2022-01-01;2022-12-31;12;30;Pilgirm
523;5;;;2022-01-01;2022-12-31;1;16;Annual Paid Leave
524;5;;;2022-01-01;2022-12-31;3;2;Paternity Leave
525;5;;;2022-01-01;2022-12-31;4;12;Sick Leave
526;5;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
527;5;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
528;5;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
529;5;;;2022-01-01;2022-12-31;10;2;Children Circumcision
530;5;;;2022-01-01;2022-12-31;11;2;Children Baptism
531;5;;;2022-01-01;2022-12-31;12;30;Pilgirm
532;6;;;2022-01-01;2022-12-31;1;18;Annual Paid Leave
533;6;;;2022-01-01;2022-12-31;3;2;Paternity Leave
534;6;;;2022-01-01;2022-12-31;4;12;Sick Leave
535;6;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
536;6;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
537;6;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
538;6;;;2022-01-01;2022-12-31;10;2;Children Circumcision
539;6;;;2022-01-01;2022-12-31;11;2;Children Baptism
540;6;;;2022-01-01;2022-12-31;12;30;Pilgirm
541;7;;;2022-01-01;2022-12-31;1;12;Annual Paid Leave
542;7;;;2022-01-01;2022-12-31;3;2;Paternity Leave
543;7;;;2022-01-01;2022-12-31;4;12;Sick Leave
544;7;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
545;7;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
546;7;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
547;7;;;2022-01-01;2022-12-31;10;2;Children Circumcision
548;7;;;2022-01-01;2022-12-31;11;2;Children Baptism
549;7;;;2022-01-01;2022-12-31;12;30;Pilgirm
550;8;;;2022-01-01;2022-12-31;1;14;Annual Paid Leave
551;8;;;2022-01-01;2022-12-31;3;2;Paternity Leave
552;8;;;2022-01-01;2022-12-31;4;12;Sick Leave
553;8;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
554;8;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
555;8;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
556;8;;;2022-01-01;2022-12-31;10;2;Children Circumcision
557;8;;;2022-01-01;2022-12-31;11;2;Children Baptism
558;8;;;2022-01-01;2022-12-31;12;30;Pilgirm
559;9;;;2022-01-01;2022-12-31;1;16;Annual Paid Leave
560;9;;;2022-01-01;2022-12-31;3;2;Paternity Leave
561;9;;;2022-01-01;2022-12-31;4;12;Sick Leave
562;9;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
563;9;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
564;9;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
565;9;;;2022-01-01;2022-12-31;10;2;Children Circumcision
566;9;;;2022-01-01;2022-12-31;11;2;Children Baptism
567;9;;;2022-01-01;2022-12-31;12;30;Pilgirm
568;10;;;2022-01-01;2022-12-31;1;16;Annual Paid Leave
569;10;;;2022-01-01;2022-12-31;2;90;Maternity Leave
570;10;;;2022-01-01;2022-12-31;4;12;Sick Leave
571;10;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
572;10;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
573;10;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
574;10;;;2022-01-01;2022-12-31;10;2;Children Circumcision
575;10;;;2022-01-01;2022-12-31;11;2;Children Baptism
576;10;;;2022-01-01;2022-12-31;12;30;Pilgirm
577;11;;;2022-01-01;2022-12-31;1;18;Annual Paid Leave
578;11;;;2022-01-01;2022-12-31;2;90;Maternity Leave
579;11;;;2022-01-01;2022-12-31;4;12;Sick Leave
580;11;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
581;11;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
582;11;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
583;11;;;2022-01-01;2022-12-31;10;2;Children Circumcision
584;11;;;2022-01-01;2022-12-31;11;2;Children Baptism
585;11;;;2022-01-01;2022-12-31;12;30;Pilgirm
586;12;;;2022-01-01;2022-12-31;1;20;Annual Paid Leave
587;12;;;2022-01-01;2022-12-31;2;90;Maternity Leave
588;12;;;2022-01-01;2022-12-31;4;12;Sick Leave
589;12;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
590;12;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
591;12;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
592;12;;;2022-01-01;2022-12-31;10;2;Children Circumcision
593;12;;;2022-01-01;2022-12-31;11;2;Children Baptism
594;12;;;2022-01-01;2022-12-31;12;30;Pilgirm
595;13;;;2022-01-01;2022-12-31;1;14;Annual Paid Leave
596;13;;;2022-01-01;2022-12-31;2;90;Maternity Leave
597;13;;;2022-01-01;2022-12-31;4;12;Sick Leave
598;13;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
599;13;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
600;13;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
601;13;;;2022-01-01;2022-12-31;10;2;Children Circumcision
602;13;;;2022-01-01;2022-12-31;11;2;Children Baptism
603;13;;;2022-01-01;2022-12-31;12;30;Pilgirm
604;14;;;2022-01-01;2022-12-31;1;16;Annual Paid Leave
605;14;;;2022-01-01;2022-12-31;2;90;Maternity Leave
606;14;;;2022-01-01;2022-12-31;4;12;Sick Leave
607;14;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
608;14;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
609;14;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
610;14;;;2022-01-01;2022-12-31;10;2;Children Circumcision
611;14;;;2022-01-01;2022-12-31;11;2;Children Baptism
612;14;;;2022-01-01;2022-12-31;12;30;Pilgirm
613;15;;;2022-01-01;2022-12-31;1;18;Annual Paid Leave
614;15;;;2022-01-01;2022-12-31;2;90;Maternity Leave
615;15;;;2022-01-01;2022-12-31;4;12;Sick Leave
616;15;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
617;15;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
618;15;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
619;15;;;2022-01-01;2022-12-31;10;2;Children Circumcision
620;15;;;2022-01-01;2022-12-31;11;2;Children Baptism
621;15;;;2022-01-01;2022-12-31;12;30;Pilgirm
622;16;;;2022-01-01;2022-12-31;1;12;Annual Paid Leave
623;16;;;2022-01-01;2022-12-31;2;90;Maternity Leave
624;16;;;2022-01-01;2022-12-31;4;12;Sick Leave
625;16;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
626;16;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
627;16;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
628;16;;;2022-01-01;2022-12-31;10;2;Children Circumcision
629;16;;;2022-01-01;2022-12-31;11;2;Children Baptism
630;16;;;2022-01-01;2022-12-31;12;30;Pilgirm
631;17;;;2022-01-01;2022-12-31;1;14;Annual Paid Leave
632;17;;;2022-01-01;2022-12-31;2;90;Maternity Leave
633;17;;;2022-01-01;2022-12-31;4;12;Sick Leave
634;17;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
635;17;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
636;17;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
637;17;;;2022-01-01;2022-12-31;10;2;Children Circumcision
638;17;;;2022-01-01;2022-12-31;11;2;Children Baptism
639;17;;;2022-01-01;2022-12-31;12;30;Pilgirm
640;18;;;2022-01-01;2022-12-31;1;16;Annual Paid Leave
641;18;;;2022-01-01;2022-12-31;2;90;Maternity Leave
642;18;;;2022-01-01;2022-12-31;4;12;Sick Leave
643;18;;;2022-01-01;2022-12-31;7;2;Compensionate Leave
644;18;;;2022-01-01;2022-12-31;8;3;Marriage Leave - own
645;18;;;2022-01-01;2022-12-31;9;2;Marriage Leave - dependant
646;18;;;2022-01-01;2022-12-31;10;2;Children Circumcision
647;18;;;2022-01-01;2022-12-31;11;2;Children Baptism
648;18;;;2022-01-01;2022-12-31;12;30;Pilgirm
649;1;;;2023-01-01;2023-12-31;1;16;Annual Paid Leave
650;1;;;2023-01-01;2023-12-31;3;2;Paternity Leave
651;1;;;2023-01-01;2023-12-31;4;12;Sick Leave
652;1;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
653;1;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
654;1;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
655;1;;;2023-01-01;2023-12-31;10;2;Children Circumcision
656;1;;;2023-01-01;2023-12-31;11;2;Children Baptism
657;1;;;2023-01-01;2023-12-31;12;30;Pilgirm
658;2;;;2023-01-01;2023-12-31;1;18;Annual Paid Leave
659;2;;;2023-01-01;2023-12-31;3;2;Paternity Leave
660;2;;;2023-01-01;2023-12-31;4;12;Sick Leave
661;2;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
662;2;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
663;2;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
664;2;;;2023-01-01;2023-12-31;10;2;Children Circumcision
665;2;;;2023-01-01;2023-12-31;11;2;Children Baptism
666;2;;;2023-01-01;2023-12-31;12;30;Pilgirm
667;3;;;2023-01-01;2023-12-31;1;20;Annual Paid Leave
668;3;;;2023-01-01;2023-12-31;3;2;Paternity Leave
669;3;;;2023-01-01;2023-12-31;4;12;Sick Leave
670;3;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
671;3;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
672;3;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
673;3;;;2023-01-01;2023-12-31;10;2;Children Circumcision
674;3;;;2023-01-01;2023-12-31;11;2;Children Baptism
675;3;;;2023-01-01;2023-12-31;12;30;Pilgirm
676;4;;;2023-01-01;2023-12-31;1;14;Annual Paid Leave
677;4;;;2023-01-01;2023-12-31;3;2;Paternity Leave
678;4;;;2023-01-01;2023-12-31;4;12;Sick Leave
679;4;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
680;4;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
681;4;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
682;4;;;2023-01-01;2023-12-31;10;2;Children Circumcision
683;4;;;2023-01-01;2023-12-31;11;2;Children Baptism
684;4;;;2023-01-01;2023-12-31;12;30;Pilgirm
685;5;;;2023-01-01;2023-12-31;1;16;Annual Paid Leave
686;5;;;2023-01-01;2023-12-31;3;2;Paternity Leave
687;5;;;2023-01-01;2023-12-31;4;12;Sick Leave
688;5;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
689;5;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
690;5;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
691;5;;;2023-01-01;2023-12-31;10;2;Children Circumcision
692;5;;;2023-01-01;2023-12-31;11;2;Children Baptism
693;5;;;2023-01-01;2023-12-31;12;30;Pilgirm
694;6;;;2023-01-01;2023-12-31;1;18;Annual Paid Leave
695;6;;;2023-01-01;2023-12-31;3;2;Paternity Leave
696;6;;;2023-01-01;2023-12-31;4;12;Sick Leave
697;6;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
698;6;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
699;6;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
700;6;;;2023-01-01;2023-12-31;10;2;Children Circumcision
701;6;;;2023-01-01;2023-12-31;11;2;Children Baptism
702;6;;;2023-01-01;2023-12-31;12;30;Pilgirm
703;7;;;2023-01-01;2023-12-31;1;12;Annual Paid Leave
704;7;;;2023-01-01;2023-12-31;3;2;Paternity Leave
705;7;;;2023-01-01;2023-12-31;4;12;Sick Leave
706;7;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
707;7;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
708;7;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
709;7;;;2023-01-01;2023-12-31;10;2;Children Circumcision
710;7;;;2023-01-01;2023-12-31;11;2;Children Baptism
711;7;;;2023-01-01;2023-12-31;12;30;Pilgirm
712;8;;;2023-01-01;2023-12-31;1;14;Annual Paid Leave
713;8;;;2023-01-01;2023-12-31;3;2;Paternity Leave
714;8;;;2023-01-01;2023-12-31;4;12;Sick Leave
715;8;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
716;8;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
717;8;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
718;8;;;2023-01-01;2023-12-31;10;2;Children Circumcision
719;8;;;2023-01-01;2023-12-31;11;2;Children Baptism
720;8;;;2023-01-01;2023-12-31;12;30;Pilgirm
721;9;;;2023-01-01;2023-12-31;1;16;Annual Paid Leave
722;9;;;2023-01-01;2023-12-31;3;2;Paternity Leave
723;9;;;2023-01-01;2023-12-31;4;12;Sick Leave
724;9;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
725;9;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
726;9;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
727;9;;;2023-01-01;2023-12-31;10;2;Children Circumcision
728;9;;;2023-01-01;2023-12-31;11;2;Children Baptism
729;9;;;2023-01-01;2023-12-31;12;30;Pilgirm
730;10;;;2023-01-01;2023-12-31;1;16;Annual Paid Leave
731;10;;;2023-01-01;2023-12-31;2;90;Maternity Leave
732;10;;;2023-01-01;2023-12-31;4;12;Sick Leave
733;10;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
734;10;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
735;10;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
736;10;;;2023-01-01;2023-12-31;10;2;Children Circumcision
737;10;;;2023-01-01;2023-12-31;11;2;Children Baptism
738;10;;;2023-01-01;2023-12-31;12;30;Pilgirm
739;11;;;2023-01-01;2023-12-31;1;18;Annual Paid Leave
740;11;;;2023-01-01;2023-12-31;2;90;Maternity Leave
741;11;;;2023-01-01;2023-12-31;4;12;Sick Leave
742;11;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
743;11;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
744;11;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
745;11;;;2023-01-01;2023-12-31;10;2;Children Circumcision
746;11;;;2023-01-01;2023-12-31;11;2;Children Baptism
747;11;;;2023-01-01;2023-12-31;12;30;Pilgirm
748;12;;;2023-01-01;2023-12-31;1;20;Annual Paid Leave
749;12;;;2023-01-01;2023-12-31;2;90;Maternity Leave
750;12;;;2023-01-01;2023-12-31;4;12;Sick Leave
751;12;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
752;12;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
753;12;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
754;12;;;2023-01-01;2023-12-31;10;2;Children Circumcision
755;12;;;2023-01-01;2023-12-31;11;2;Children Baptism
756;12;;;2023-01-01;2023-12-31;12;30;Pilgirm
757;13;;;2023-01-01;2023-12-31;1;14;Annual Paid Leave
758;13;;;2023-01-01;2023-12-31;2;90;Maternity Leave
759;13;;;2023-01-01;2023-12-31;4;12;Sick Leave
760;13;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
761;13;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
762;13;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
763;13;;;2023-01-01;2023-12-31;10;2;Children Circumcision
764;13;;;2023-01-01;2023-12-31;11;2;Children Baptism
765;13;;;2023-01-01;2023-12-31;12;30;Pilgirm
766;14;;;2023-01-01;2023-12-31;1;16;Annual Paid Leave
767;14;;;2023-01-01;2023-12-31;2;90;Maternity Leave
768;14;;;2023-01-01;2023-12-31;4;12;Sick Leave
769;14;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
770;14;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
771;14;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
772;14;;;2023-01-01;2023-12-31;10;2;Children Circumcision
773;14;;;2023-01-01;2023-12-31;11;2;Children Baptism
774;14;;;2023-01-01;2023-12-31;12;30;Pilgirm
775;15;;;2023-01-01;2023-12-31;1;18;Annual Paid Leave
776;15;;;2023-01-01;2023-12-31;2;90;Maternity Leave
777;15;;;2023-01-01;2023-12-31;4;12;Sick Leave
778;15;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
779;15;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
780;15;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
781;15;;;2023-01-01;2023-12-31;10;2;Children Circumcision
782;15;;;2023-01-01;2023-12-31;11;2;Children Baptism
783;15;;;2023-01-01;2023-12-31;12;30;Pilgirm
784;16;;;2023-01-01;2023-12-31;1;12;Annual Paid Leave
785;16;;;2023-01-01;2023-12-31;2;90;Maternity Leave
786;16;;;2023-01-01;2023-12-31;4;12;Sick Leave
787;16;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
788;16;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
789;16;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
790;16;;;2023-01-01;2023-12-31;10;2;Children Circumcision
791;16;;;2023-01-01;2023-12-31;11;2;Children Baptism
792;16;;;2023-01-01;2023-12-31;12;30;Pilgirm
793;17;;;2023-01-01;2023-12-31;1;14;Annual Paid Leave
794;17;;;2023-01-01;2023-12-31;2;90;Maternity Leave
795;17;;;2023-01-01;2023-12-31;4;12;Sick Leave
796;17;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
797;17;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
798;17;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
799;17;;;2023-01-01;2023-12-31;10;2;Children Circumcision
800;17;;;2023-01-01;2023-12-31;11;2;Children Baptism
801;17;;;2023-01-01;2023-12-31;12;30;Pilgirm
802;18;;;2023-01-01;2023-12-31;1;16;Annual Paid Leave
803;18;;;2023-01-01;2023-12-31;2;90;Maternity Leave
804;18;;;2023-01-01;2023-12-31;4;12;Sick Leave
805;18;;;2023-01-01;2023-12-31;7;2;Compensionate Leave
806;18;;;2023-01-01;2023-12-31;8;3;Marriage Leave - own
807;18;;;2023-01-01;2023-12-31;9;2;Marriage Leave - dependant
808;18;;;2023-01-01;2023-12-31;10;2;Children Circumcision
809;18;;;2023-01-01;2023-12-31;11;2;Children Baptism
810;18;;;2023-01-01;2023-12-31;12;30;Pilgirm
